# The aquarium trade list.  See auctions/aquarium_species.py for the format and the rules.
#
# Everything here is something a club auction actually sells and that FishBase does not cover:
# plants, freshwater invertebrates, live-food cultures, and the cultivars ("strains") of fish
# FishBase does list.  A variety row names its parent in scientific_name and puts the strain in
# variety; the loader links the two, and the parent has to already exist.
#
# There is a second kind of row, at the bottom of the file: a NAMES-ONLY row, for a species
# FishBase already has under a name nobody in the hobby uses.  FishBase files Labidochromis
# caeruleus under "Blue streak hap", so "yellow lab" matched nothing at all.  Write the scientific
# name and the common names, leave family/order/kind/habitat blank, and the loader attaches the
# names to the existing species without creating a second copy of it or touching its taxonomy.
#
# Rules for adding a row:
#   * scientific_name is the currently accepted binomial.  A genus on its own is allowed when the
#     trade genuinely sells at that rank (Bucephalandra, Tylomelania) -- leave the epithet off.
#   * common_names is what people type into a lot name, pipe-separated, lower case.  Include the
#     abbreviations (rcs, mts, bbs): that is what actually gets typed.
#   * Don't add a row to make a search work if the identification is contested.  A wrong species
#     is printed on a label and counted for breeder points; no match is the better answer.
#     "Bristlenose" is the example to keep in mind: everyone sells one, nobody agrees which
#     Ancistrus it is, and so it is deliberately not in this file.
#
scientific_name,variety,common_names,family,order,kind,habitat
#
# ---------------------------------------------------------------- plants: rosettes and stems ---
Anubias barteri,,anubias|anubias barteri|broad leaf anubias,Araceae,Alismatales,plant,fresh
Anubias barteri,Nana,anubias nana|nana anubias|dwarf anubias,Araceae,Alismatales,plant,fresh
Anubias barteri,Nana Petite,anubias nana petite|petite anubias|pinto anubias,Araceae,Alismatales,plant,fresh
Anubias barteri,Coffeefolia,anubias coffeefolia|coffeefolia,Araceae,Alismatales,plant,fresh
Anubias gracilis,,anubias gracilis,Araceae,Alismatales,plant,fresh
Anubias hastifolia,,anubias hastifolia|arrowhead anubias,Araceae,Alismatales,plant,fresh
Anubias afzelii,,anubias afzelii,Araceae,Alismatales,plant,fresh
Anubias heterophylla,,anubias congensis|congo anubias|anubias heterophylla,Araceae,Alismatales,plant,fresh
Bucephalandra,,bucephalandra|buce|buces,Araceae,Alismatales,plant,fresh
Cryptocoryne wendtii,,crypt wendtii|cryptocoryne wendtii|wendtii crypt|crypt,Araceae,Alismatales,plant,fresh
Cryptocoryne wendtii,Green,green wendtii|crypt wendtii green,Araceae,Alismatales,plant,fresh
Cryptocoryne wendtii,Bronze,bronze wendtii|crypt wendtii bronze,Araceae,Alismatales,plant,fresh
